Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Female,22,Engineering,67.91,54.06,48.89,78.4,81.69,92.1,88.09,71.29249999999999,C,21.4,No,Yes,,3,3,8.3
Female,19,Mathematics,59.65,63.79,65.99,56.24,67.7,16.200000000000003,59.05,59.797,F,26.7,Yes,No,Master's,3,10,6.0
Female,20,CS,60.19,66.99,85.0,88.23,50.84,47.1,66.55,71.937,C,22.0,Yes,Yes,Master's,2,4,7.1
Male,20,CS,59.35,95.28,67.53,62.89,74.25,73.89999999999999,68.99,72.425,C,16.6,No,No,Bachelor's,2,9,7.8
Female,23,CS,74.45,73.6,49.81,83.71,60.32,28.700000000000003,74.63,65.905,D,21.5,Yes,No,Bachelor's,2,8,6.2
Male,20,Business,89.9,42.71,55.12,82.31,82.39,92.1,51.51,60.83,D,22.4,Yes,Yes,,1,5,8.8
Female,20,Mathematics,78.45,64.47,62.05,80.83,79.15,88.80000000000001,79.65,73.55749999999999,C,24.4,No,No,Bachelor's,1,4,8.7
Male,22,Mathematics,94.66,64.99,44.17,63.35,63.26,10.4,67.89,57.5065,F,12.7,Yes,No,Master's,1,10,7.4
Male,21,Business,81.83,97.93,75.06,63.35,53.44,2.7,78.08,71.86,C,7.9,No,Yes,,2,9,9.0
Male,20,Mathematics,84.47,75.95,76.45,93.15,87.75,97.6,50.45,73.26750000000001,C,22.0,No,No,,2,1,4.0
Male,23,Business,83.38,78.14,43.73,50.64,79.27,95.6,66.07,62.7775,D,8.0,No,No,,3,6,4.0
Male,19,Engineering,72.47,82.8,64.14,59.08,92.11,42.2,88.43,75.167,C,16.6,No,No,Bachelor's,1,8,4.3
Male,20,Engineering,84.47,86.2,64.84,80.51,62.99,5.1,75.05,70.2855,C,10.8,No,Yes,Bachelor's,2,7,8.7
Female,23,Mathematics,53.49,78.1,60.03,90.85,82.64,61.900000000000006,89.44,78.541,C,13.3,Yes,No,Bachelor's,1,8,7.0
Male,22,Engineering,92.99,54.23,73.46,67.92,55.93,29.3,84.95,69.2305,D,16.8,Yes,Yes,PhD,1,3,8.6
Female,24,Engineering,88.89,92.44,60.76,82.67,64.59,93.7,92.75,80.4255,B,27.4,Yes,No,PhD,2,5,4.6
Female,24,Engineering,62.26,83.93,64.98,77.86,82.83,79.5,50.37,67.88250000000001,D,22.0,Yes,Yes,PhD,1,1,4.2
Male,24,CS,88.4,84.51,87.85,53.23,91.28,65.0,63.07,73.92249999999999,C,9.3,No,Yes,,1,8,6.7
Male,19,Engineering,50.63,99.79,49.73,81.09,66.05,28.5,77.44,70.8265,C,27.0,Yes,No,Bachelor's,2,2,4.9
Female,23,CS,60.86,88.15,77.15,90.7,89.94,70.1,97.05,87.72900000000001,B,17.5,Yes,No,PhD,2,10,8.3
Male,20,Business,53.26,89.75,70.34,99.62,83.89,28.9,83.99,81.0215,B,10.1,No,No,,1,3,6.1
Male,21,Business,89.01,97.08,58.3,51.48,67.43,3.8,72.83,65.641,D,18.2,No,No,Master's,3,10,7.9
Male,19,Business,87.79,49.07,83.65,83.0,93.82,50.8,56.51,69.598,D,9.8,Yes,Yes,PhD,3,2,6.6
Male,19,Business,90.68,69.86,73.07,70.73,75.46,48.9,74.66,71.74499999999999,C,14.2,No,Yes,,3,1,6.6
Male,24,Business,50.22,74.83,68.64,50.49,82.41,76.3,72.05,69.62899999999999,D,25.1,No,Yes,High School,2,2,7.4
Male,21,Engineering,75.06,59.76,80.06,80.72,74.78,86.6,88.92,79.571,C,21.5,Yes,Yes,PhD,3,10,5.7
Male,24,Engineering,85.24,90.36,88.14,56.12,72.64,35.4,70.67,74.242,C,16.9,Yes,Yes,Master's,2,2,8.7
Female,19,Engineering,57.77,85.75,98.36,68.93,92.4,44.900000000000006,65.94,79.059,C,10.7,Yes,No,,1,6,6.0
Male,20,Business,82.49,83.25,77.76,63.07,64.74,47.0,54.49,66.55900000000001,D,12.1,No,No,PhD,2,4,6.0
Female,24,Business,54.21,99.83,92.47,68.06,51.83,32.400000000000006,52.33,70.803,C,29.5,Yes,No,PhD,3,10,7.5
Female,24,CS,59.07,55.56,40.07,74.63,93.99,74.3,71.96,64.24799999999999,D,13.6,Yes,No,High School,3,4,7.2
Female,24,Mathematics,73.79,84.13,71.81,67.96,91.25,52.2,67.34,72.703,C,20.4,Yes,Yes,,3,1,9.0
Female,19,Engineering,82.68,73.08,52.88,77.64,68.33,91.4,77.77,70.562,C,17.5,Yes,No,,3,10,8.3
Male,20,Mathematics,57.29,58.78,45.65,61.93,59.27,65.0,85.6,64.376,D,5.6,Yes,No,,3,2,5.4
Female,21,Business,59.26,49.64,71.92,81.77,83.78,21.200000000000003,52.0,62.72950000000001,D,28.6,Yes,No,Bachelor's,1,3,4.5
Female,18,Business,60.22,93.75,84.81,92.69,53.94,16.5,74.81,77.8305,C,7.2,Yes,Yes,High School,1,9,4.5
Female,21,Business,61.94,75.73,64.74,61.2,71.19,37.2,93.1,73.6335,C,21.5,Yes,Yes,,1,5,5.8
Female,20,Mathematics,61.33,89.5,80.21,75.39,54.29,34.7,72.76,73.778,C,25.3,No,No,High School,1,4,6.4
Female,22,CS,69.76,72.72,69.38,82.43,79.9,40.7,76.06,73.4605,C,23.7,No,Yes,Bachelor's,2,10,7.2
Male,24,Business,82.69,53.2,66.23,78.23,51.36,18.4,74.34,64.63000000000001,D,25.2,No,No,,3,3,8.3
Male,21,CS,71.9,60.25,57.42,68.28,81.46,97.8,69.49,67.5175,D,23.5,No,Yes,High School,3,10,8.9
Female,22,CS,88.8,62.89,62.96,82.11,83.66,14.6,55.51,63.239,D,16.1,No,No,High School,1,1,6.0
Male,22,Engineering,85.96,98.38,60.99,51.41,74.36,65.3,56.32,65.313,D,27.4,Yes,Yes,Bachelor's,1,1,6.7
Male,20,Mathematics,56.33,40.34,78.77,68.5,58.75,1.3,58.95,59.64349999999999,F,27.8,Yes,Yes,High School,1,10,7.0
Female,20,Business,52.44,99.14,46.96,76.63,55.07,40.7,89.63,72.53649999999999,C,15.9,Yes,No,Bachelor's,2,8,6.8
Female,24,CS,93.9,98.83,45.56,51.03,65.66,30.9,63.77,61.111,D,17.1,No,Yes,PhD,2,10,4.5
Female,18,Mathematics,53.99,99.77,79.6,75.38,73.26,38.2,97.41,84.6315,B,17.1,No,Yes,High School,1,9,4.6
Male,23,Mathematics,57.42,68.6,72.78,82.71,82.11,49.8,90.51,78.7455,C,12.0,Yes,No,Bachelor's,3,3,8.4
Female,19,Business,51.11,97.83,65.81,87.96,50.06,60.0,84.23,77.596,C,7.9,No,No,Master's,2,9,7.4
Male,21,Engineering,81.42,63.74,49.15,55.67,85.55,58.4,86.02,67.48,D,11.5,Yes,Yes,,1,8,7.4
Male,20,Engineering,79.12,41.58,64.66,99.53,85.64,63.1,52.38,64.7645,D,26.1,Yes,No,,1,1,8.1
Male,21,CS,99.35,53.46,87.38,80.31,72.23,84.5,78.42,76.8845,C,18.6,No,Yes,,1,6,4.4
Female,23,Engineering,94.35,96.72,93.38,68.16,67.17,88.69999999999999,97.05,88.344,B,26.3,Yes,Yes,Bachelor's,3,9,6.1
Male,23,Engineering,70.54,40.83,82.15,62.45,92.12,73.7,51.96,64.5145,D,23.6,No,No,Bachelor's,2,4,5.2
Female,24,Engineering,68.58,72.76,43.59,78.64,89.23,7.9,64.55,62.29050000000001,D,13.7,Yes,No,,3,9,7.3
Female,22,Mathematics,64.84,44.54,80.22,94.09,99.16,96.1,52.58,71.3445,C,9.6,Yes,Yes,Bachelor's,2,2,5.1
Female,24,Business,57.62,57.18,54.46,76.03,68.6,94.7,78.49,68.73849999999999,D,19.2,No,No,High School,3,10,7.5
Female,19,Mathematics,56.9,45.29,58.92,83.07,95.34,71.2,55.81,63.821,D,28.4,No,No,High School,2,9,5.9
Female,18,Mathematics,56.61,91.57,51.75,67.88,54.37,51.7,73.96,67.065,D,26.0,No,No,High School,3,1,6.2
Male,21,Business,55.71,75.46,86.55,69.41,70.57,25.1,86.0,77.48,C,24.1,No,No,PhD,1,4,8.1
Male,19,Mathematics,62.03,94.13,78.92,64.31,73.27,75.6,58.22,72.06899999999999,C,24.1,Yes,No,,3,5,5.7
Male,18,CS,65.33,81.3,76.71,85.28,72.04,87.8,87.77,82.0895,B,18.2,Yes,No,Master's,1,2,5.3
Male,21,CS,98.08,98.26,80.08,67.96,81.25,66.5,53.01,72.30600000000001,C,9.2,Yes,Yes,,3,6,8.3
Male,19,Mathematics,78.92,70.59,54.21,59.54,58.51,62.9,57.48,59.312,F,12.1,No,Yes,High School,1,8,7.4
Female,20,Engineering,99.38,78.32,66.68,68.47,93.32,19.3,64.01,68.1885,D,19.4,Yes,No,,1,2,6.0
Female,21,Mathematics,68.62,74.58,78.0,92.69,77.59,35.8,89.8,81.0795,B,12.9,No,No,PhD,3,9,6.5
Male,19,Engineering,72.88,69.06,78.2,86.91,95.21,72.30000000000001,92.51,83.83449999999999,B,24.5,Yes,Yes,High School,3,2,5.7
Male,23,Mathematics,66.23,90.76,87.51,66.73,50.13,1.7000000000000002,61.02,68.905,D,14.3,No,Yes,PhD,3,1,6.8
Male,18,CS,59.14,78.67,57.23,95.34,81.5,64.1,54.79,68.201,D,7.8,Yes,No,PhD,3,6,4.7
Female,19,Engineering,57.16,88.08,86.22,53.74,70.62,76.7,92.4,81.44500000000001,B,24.6,Yes,No,PhD,3,5,8.4
Female,20,CS,97.25,87.18,66.41,52.49,75.25,33.5,82.47,71.494,C,22.5,Yes,No,High School,1,10,6.8
Female,24,Mathematics,99.34,51.46,80.21,56.37,87.19,7.6,57.89,62.693,D,11.3,No,No,PhD,1,3,5.9
Male,21,Business,52.25,79.01,67.34,55.82,61.36,81.89999999999999,77.89,70.6575,C,29.5,No,No,PhD,2,3,6.9
Male,21,Engineering,57.52,51.98,96.92,54.39,60.24,14.2,93.62,75.00550000000001,C,15.1,Yes,Yes,Master's,2,8,4.8
Male,21,Engineering,71.18,75.0,50.76,83.07,85.15,37.1,53.48,62.81449999999999,D,22.0,Yes,Yes,,2,4,4.4
Male,20,Mathematics,59.32,80.65,80.5,80.04,76.07,70.7,54.19,71.6275,C,27.8,Yes,Yes,Master's,3,1,6.7
Female,18,Mathematics,68.19,99.83,74.59,82.38,61.68,81.7,63.68,75.336,C,8.9,No,No,,3,4,4.4
Male,21,Engineering,56.45,41.83,50.36,84.42,74.2,86.19999999999999,82.61,68.0405,D,27.0,Yes,No,High School,3,6,7.3
Male,18,Business,72.83,45.47,43.96,87.84,72.98,53.0,58.9,58.6045,F,22.6,Yes,Yes,Master's,3,2,8.0
Male,19,Mathematics,63.58,44.62,87.95,60.36,84.57,47.6,90.82,75.81750000000001,C,9.2,No,Yes,Bachelor's,1,7,8.9
Female,23,Mathematics,67.6,63.9,49.45,81.12,50.13,84.80000000000001,87.52,69.6245,D,21.6,Yes,Yes,High School,1,1,7.8
Female,23,Mathematics,54.72,89.3,51.19,79.0,79.34,56.3,78.05,72.2065,C,26.9,No,No,High School,1,10,8.9
Male,18,Business,71.41,90.64,98.71,97.18,80.28,57.9,55.8,80.5135,B,25.0,No,Yes,,2,9,4.1
Female,18,Engineering,99.16,84.22,83.04,61.62,87.28,43.4,99.41,83.357,B,24.0,Yes,Yes,,2,2,6.8
Female,23,CS,66.44,93.81,55.03,52.94,94.46,37.3,74.5,69.431,D,9.0,Yes,Yes,PhD,1,9,4.8
Female,21,Mathematics,93.82,59.37,75.46,82.67,72.01,48.1,72.6,71.557,C,9.8,No,No,Bachelor's,1,1,5.2
Female,22,Business,92.16,45.29,72.05,87.01,67.13,36.5,99.78,76.3295,C,18.7,Yes,Yes,High School,1,4,7.7
Female,22,Engineering,97.6,43.49,90.67,64.16,55.12,34.4,93.19,74.00399999999999,C,19.5,No,No,High School,1,5,5.3
Male,20,Engineering,89.51,91.13,83.76,78.54,66.84,99.4,72.82,79.8905,C,28.6,No,Yes,Master's,1,8,4.9
Male,24,Business,82.98,83.83,89.9,52.98,53.42,33.6,70.94,71.3005,C,16.7,Yes,Yes,,2,5,5.9
Male,23,Mathematics,92.83,81.92,52.69,98.0,90.14,25.6,54.8,66.8945,D,12.6,Yes,Yes,Master's,3,1,4.4
Female,23,CS,53.78,60.38,78.41,55.5,90.35,35.4,96.33,76.68849999999999,C,9.8,Yes,Yes,,3,1,4.7
Female,20,Mathematics,73.14,62.79,42.41,53.38,70.86,59.1,92.19,65.726,D,6.4,No,No,,1,2,4.7
Female,22,Engineering,99.46,97.49,44.14,52.21,62.98,91.1,65.5,63.992999999999995,D,6.7,Yes,Yes,Master's,3,9,5.1
Female,19,CS,88.48,43.83,82.81,71.36,55.9,78.8,87.67,73.812,C,19.4,No,No,Master's,1,1,8.4
Male,21,Mathematics,98.1,86.42,41.47,54.86,92.56,84.2,88.14,71.4675,C,9.4,No,No,Master's,1,3,5.5
Male,21,CS,88.98,58.58,74.79,87.23,93.87,85.9,61.4,72.671,C,26.3,No,Yes,,3,8,5.4
Male,19,Business,93.74,42.34,90.42,94.94,63.31,92.1,80.68,78.337,C,19.9,No,No,Bachelor's,3,1,4.6
Male,19,Mathematics,85.33,84.55,62.8,63.01,81.09,23.5,62.75,65.943,D,26.6,Yes,No,Master's,3,4,4.1
Male,22,Engineering,88.03,59.85,42.69,81.44,62.93,45.8,89.49,67.29599999999999,D,15.7,No,No,,1,8,4.8
Male,20,Engineering,76.16,83.33,82.83,52.12,61.26,38.5,57.69,66.383,D,19.9,No,Yes,Master's,2,6,7.6
Female,19,CS,96.21,82.46,95.78,69.33,51.06,38.2,83.45,78.7645,C,18.1,No,No,Bachelor's,1,6,8.8
Female,20,Business,91.25,72.09,83.03,64.65,78.86,65.19999999999999,66.3,72.30449999999999,C,29.7,Yes,No,Bachelor's,3,1,7.7
Male,24,Mathematics,92.19,86.64,74.71,61.43,57.5,40.2,51.81,64.191,D,24.9,No,No,PhD,1,7,8.3
Female,18,Business,83.65,74.86,53.8,82.24,50.62,61.6,56.19,62.014,D,19.9,Yes,Yes,PhD,2,1,7.9
Male,21,Business,65.23,57.2,40.92,56.51,55.24,38.2,82.74,59.5425,F,20.2,Yes,Yes,Bachelor's,2,3,5.5
Male,22,CS,51.78,84.05,81.68,93.04,65.69,31.1,62.0,73.70750000000001,C,11.2,No,Yes,Master's,1,1,7.7
Female,21,CS,96.78,75.35,53.86,83.24,83.46,35.3,81.55,71.8295,C,23.4,No,No,PhD,1,8,7.8
Male,22,Mathematics,79.31,40.76,91.49,85.54,60.13,80.39999999999999,70.74,73.07249999999999,C,29.6,Yes,No,,2,4,5.3
Male,18,Engineering,64.91,94.1,67.98,96.77,94.38,60.1,84.64,83.46050000000001,B,8.2,No,Yes,Bachelor's,3,5,8.6
Male,21,Mathematics,57.46,72.74,71.84,97.12,64.42,97.4,74.65,77.146,C,20.9,No,No,Master's,3,1,9.0
Female,18,Business,91.48,92.12,85.24,77.58,66.56,83.3,65.43,77.215,C,17.9,Yes,Yes,,1,1,6.8
Female,22,CS,91.83,92.96,86.77,74.77,60.9,48.6,57.29,72.559,C,26.3,Yes,Yes,Bachelor's,3,10,5.6
Female,19,Business,90.73,66.7,78.56,66.77,62.69,24.2,67.05,67.2545,D,5.0,Yes,Yes,Bachelor's,3,1,5.8
Female,24,CS,82.25,70.46,96.31,85.78,53.71,67.4,81.74,80.7765,B,8.4,Yes,Yes,Master's,1,3,6.9
Male,21,Engineering,68.3,64.95,98.94,76.91,64.74,72.69999999999999,87.02,82.229,B,5.9,No,No,Master's,3,6,4.0
Female,18,Business,65.2,66.97,96.81,96.64,92.98,46.4,58.02,77.768,C,9.1,Yes,Yes,High School,2,5,5.5
Female,23,CS,50.43,93.71,89.45,61.93,84.42,23.0,83.21,80.2635,B,22.7,Yes,No,Master's,1,10,4.2
Female,21,Mathematics,91.68,87.29,82.34,65.51,93.76,55.7,58.96,73.354,C,8.5,No,No,,2,7,7.1
Male,21,Mathematics,54.37,47.59,79.8,65.8,55.24,25.4,61.09,62.07950000000001,D,20.6,Yes,Yes,PhD,3,1,7.0
Female,21,Mathematics,81.54,76.62,46.23,90.3,72.78,94.0,76.57,71.5445,C,26.7,No,No,Master's,2,8,7.0
Female,20,Business,75.2,99.75,56.29,54.95,61.46,62.9,64.46,65.9065,D,5.9,Yes,No,Master's,2,5,4.8
Male,18,CS,76.33,75.73,40.34,72.78,86.06,29.2,83.08,67.3515,D,5.7,Yes,No,PhD,2,6,8.7
Male,18,CS,96.34,87.15,48.24,71.38,98.51,21.6,97.79,76.1075,C,29.7,No,No,PhD,2,2,6.7
Male,21,CS,51.58,86.14,66.35,53.66,90.77,71.7,57.44,67.4515,D,21.8,No,No,Bachelor's,2,9,6.8
Male,19,Business,88.67,61.02,48.79,70.54,51.76,70.8,78.53,64.2065,D,8.5,Yes,Yes,Bachelor's,1,3,6.7
Female,21,CS,52.6,62.31,94.1,75.67,65.83,59.7,96.16,82.63799999999999,B,12.7,Yes,No,PhD,1,5,6.6
Male,20,Engineering,51.91,83.44,88.34,53.26,51.43,61.4,58.83,68.452,D,29.6,Yes,Yes,PhD,2,10,8.7
Female,22,Business,71.49,70.0,44.3,75.49,52.01,60.4,68.34,61.6215,D,10.7,Yes,No,PhD,2,8,7.0
Female,20,Engineering,53.15,74.23,54.93,97.96,53.98,36.0,56.18,63.613,D,23.8,Yes,No,,3,1,6.4
Female,19,Engineering,89.46,82.77,89.14,98.95,63.82,93.7,82.1,85.24,B,11.0,No,Yes,High School,1,4,7.8
Female,21,Mathematics,76.48,86.65,88.18,76.58,65.21,47.9,83.46,80.4835,B,15.0,Yes,No,,1,5,5.3
Female,18,Business,51.45,56.29,96.73,75.75,70.02,2.0,83.21,76.0535,C,27.0,No,Yes,High School,3,6,5.0
Male,24,CS,52.03,48.81,99.85,64.28,70.25,34.8,77.11,73.824,C,5.7,Yes,No,Bachelor's,3,3,6.2
Female,23,Engineering,80.63,57.51,98.58,99.86,88.57,13.0,87.31,83.9505,B,12.7,No,Yes,PhD,1,4,4.1
Female,21,Business,90.31,70.45,64.61,63.71,57.07,36.3,51.79,59.3355,F,17.2,Yes,No,,3,3,5.5
Female,19,CS,71.89,60.53,55.02,72.65,57.89,60.8,97.88,71.925,C,20.6,No,Yes,PhD,1,4,6.1
Male,18,Mathematics,77.73,74.1,85.5,50.15,81.33,2.3000000000000003,61.1,66.59049999999999,D,5.7,Yes,Yes,PhD,2,7,6.9
Female,20,Business,89.99,43.21,57.96,67.46,78.59,87.0,56.08,60.1235,D,15.3,Yes,Yes,PhD,1,9,6.7
Female,22,Business,80.53,70.59,88.38,53.57,57.7,61.0,97.06,78.657,C,13.6,No,Yes,,3,9,5.8
Male,22,Business,61.24,62.08,72.04,87.19,92.61,29.5,91.52,78.5925,C,5.7,No,Yes,PhD,1,5,5.7
Female,24,CS,80.65,72.08,87.64,78.05,66.45,31.1,88.24,79.1015,C,13.9,Yes,Yes,Bachelor's,2,6,4.0
Female,21,Engineering,81.41,65.35,56.55,78.61,68.35,46.6,55.24,61.46849999999999,D,28.3,No,No,High School,2,9,8.4
Male,20,Engineering,86.71,57.05,70.48,64.33,71.02,24.8,90.38,71.283,C,11.9,No,No,Master's,1,4,5.2
Female,24,Business,81.04,94.25,73.84,90.74,66.14,0.4,80.45,76.97749999999999,C,19.6,Yes,Yes,Bachelor's,2,7,5.8
Female,23,Business,98.46,51.09,96.59,50.16,77.87,2.7,86.6,73.237,C,12.5,No,Yes,High School,2,3,4.1
Female,23,CS,59.86,80.88,56.0,66.68,69.43,35.8,98.9,74.537,C,7.7,No,No,Master's,1,9,8.8
Female,24,Mathematics,97.55,95.48,96.2,82.97,62.97,12.4,59.72,75.6505,C,12.2,Yes,No,PhD,2,9,6.5
Female,19,Business,76.92,72.32,88.29,95.4,95.22,2.2,75.22,79.4285,C,16.8,No,No,Bachelor's,1,10,4.1
Male,22,Business,83.6,92.58,83.85,61.73,65.42,85.9,87.67,81.247,B,12.4,Yes,Yes,Master's,2,5,5.3
Male,20,Mathematics,54.97,47.49,87.21,77.06,84.92,27.4,71.68,71.851,C,20.6,Yes,Yes,Master's,3,4,8.4
Male,21,Business,69.03,69.63,76.33,76.9,67.36,50.3,52.73,66.132,D,28.7,No,Yes,Master's,1,10,5.9
Female,18,Engineering,88.47,67.42,54.64,93.71,71.76,17.9,55.57,62.5715,D,6.7,No,No,PhD,3,10,7.4
Female,21,Business,85.35,40.49,51.37,52.53,61.8,4.699999999999999,80.1,57.2405,F,22.9,No,Yes,High School,3,9,7.1
Female,21,Engineering,52.01,66.6,91.98,71.22,87.62,74.5,64.25,75.43,C,5.0,No,Yes,High School,3,5,6.4
Male,20,CS,77.33,62.14,83.51,59.12,86.86,12.5,56.89,65.4445,D,5.0,No,Yes,Bachelor's,2,1,8.2
Female,22,CS,54.41,80.19,52.79,51.08,51.11,2.6,66.99,58.226,F,8.3,Yes,No,PhD,1,2,4.2
Female,20,Engineering,99.79,96.3,76.91,57.35,53.01,58.7,60.05,68.526,D,17.0,No,No,High School,1,10,8.6
Female,18,Engineering,94.86,45.15,66.85,98.82,96.12,1.3,51.2,63.345,D,6.2,No,No,Bachelor's,3,7,7.6
Male,24,Mathematics,51.05,59.65,49.52,60.74,94.44,43.6,57.59,59.3395,F,23.1,Yes,Yes,High School,3,3,8.3
Male,20,Engineering,92.93,66.64,71.91,96.75,75.3,28.9,94.15,79.706,C,5.7,No,No,,2,1,4.1
Female,19,Engineering,95.97,67.31,56.89,60.26,74.67,31.9,50.6,57.6,F,17.4,No,No,PhD,1,9,4.4
Female,21,Business,67.68,86.49,45.77,96.56,90.62,0.4,88.69,74.589,C,21.9,Yes,Yes,,1,4,5.0
Female,22,Mathematics,85.98,66.6,68.02,82.73,56.92,96.4,87.67,76.2175,C,10.9,No,No,High School,2,3,7.0
Male,23,Engineering,72.11,41.63,75.41,55.66,82.68,51.7,78.21,67.762,D,19.5,Yes,Yes,High School,1,5,4.5
Male,18,Engineering,82.76,82.61,42.81,79.1,73.8,57.3,60.42,63.33000000000001,D,11.5,No,Yes,,3,1,8.7
Male,23,Engineering,67.02,93.09,64.13,65.93,87.17,66.6,93.9,80.10249999999999,B,10.4,No,Yes,PhD,3,1,7.7
Female,21,Business,66.13,70.83,55.46,69.16,51.51,79.80000000000001,73.75,66.12950000000001,D,25.5,No,Yes,Bachelor's,1,1,8.0
Male,20,Business,71.22,74.87,41.84,72.01,79.64,60.8,58.66,61.094,D,13.3,Yes,No,Master's,3,7,6.9
Female,23,Business,57.28,49.78,47.54,71.14,77.84,76.2,71.45,63.05200000000001,D,25.3,Yes,Yes,,1,7,7.2
Female,19,CS,91.56,53.24,48.34,83.21,92.04,44.900000000000006,59.75,61.9265,D,10.4,Yes,No,PhD,1,9,5.1
Male,20,Business,67.43,54.11,50.97,88.42,83.84,37.1,68.8,65.00099999999999,D,13.9,No,No,PhD,2,5,8.6
Female,21,Engineering,70.01,65.84,88.2,66.46,94.01,82.30000000000001,74.83,77.86000000000001,C,7.6,Yes,No,Master's,2,2,7.2
Male,23,Business,94.7,95.69,66.37,96.22,94.36,86.5,68.0,79.53999999999999,C,17.4,Yes,Yes,Bachelor's,1,9,6.1
Female,24,Business,74.83,71.31,48.83,96.92,70.41,13.8,82.85,70.02799999999999,C,14.5,No,Yes,Bachelor's,3,4,8.4
Female,18,Mathematics,77.21,51.53,46.02,52.03,56.87,54.3,96.8,64.481,D,5.1,No,Yes,High School,2,5,8.3
Male,23,Engineering,97.82,55.97,57.88,50.75,81.51,68.4,67.41,62.272000000000006,D,16.6,Yes,No,High School,3,1,4.0
Female,24,Business,94.34,63.04,87.88,71.25,93.69,8.4,67.79,72.2395,C,6.9,No,Yes,,1,2,8.6
Female,24,CS,58.47,77.4,61.87,79.53,53.75,93.0,86.92,75.108,C,25.9,No,Yes,Bachelor's,3,8,5.8
Female,23,Mathematics,73.66,66.4,49.59,63.9,77.9,52.0,76.53,65.2915,D,17.3,Yes,Yes,,1,2,6.1
Female,22,Business,98.56,63.55,64.25,62.97,55.75,64.5,71.44,65.2725,D,22.3,No,No,High School,3,8,4.4
Female,23,Mathematics,68.62,73.88,73.32,83.92,51.35,17.8,90.69,75.232,C,25.5,No,Yes,,1,1,8.4
Female,21,Mathematics,68.58,54.51,41.78,80.09,83.98,26.4,94.55,68.718,D,6.3,No,No,Master's,2,9,6.7
Female,24,CS,59.75,44.73,77.66,58.36,84.09,12.1,79.53,67.7515,D,13.4,Yes,Yes,,2,9,8.5
Female,18,CS,55.72,41.46,63.71,94.23,80.03,26.4,59.26,63.382,D,5.6,No,Yes,High School,3,9,7.9
Male,21,CS,87.02,55.08,40.58,84.0,92.96,49.2,73.31,64.756,D,6.2,No,No,High School,3,6,8.5
Male,19,Engineering,88.5,45.5,80.43,68.13,54.04,83.4,75.22,69.292,D,5.9,Yes,No,Master's,2,2,8.7
Female,20,Mathematics,98.45,60.18,82.74,84.18,55.26,53.4,71.61,72.018,C,16.9,No,Yes,Master's,2,1,8.4
Female,23,Business,88.67,86.38,77.73,55.63,93.23,24.4,63.12,70.213,C,16.3,No,No,Bachelor's,1,6,5.0
Male,22,CS,62.17,82.98,60.52,73.41,75.16,4.5,73.62,68.41550000000001,D,6.5,No,No,Master's,2,4,4.4
Female,18,CS,52.01,76.66,71.78,58.45,63.65,62.2,72.33,69.38550000000001,D,11.6,Yes,Yes,Master's,1,8,7.1
Male,22,Mathematics,99.27,91.15,63.23,52.07,86.91,42.0,60.47,66.2225,D,11.1,No,No,Bachelor's,2,8,4.8
Male,22,Mathematics,67.02,56.92,82.04,66.92,94.72,98.4,95.17,82.029,B,12.4,Yes,No,Master's,1,2,8.3
Male,22,Mathematics,65.6,93.1,75.01,57.54,84.48,78.0,94.27,81.97749999999999,B,21.0,No,No,PhD,1,2,8.7
Female,23,Business,95.3,63.95,44.91,81.68,89.6,80.8,87.98,72.46600000000001,C,22.4,No,Yes,PhD,1,4,4.6
Female,18,Engineering,79.25,64.05,78.59,83.7,64.12,1.2,70.05,69.297,D,13.5,Yes,Yes,PhD,3,9,5.2
Female,18,Engineering,60.74,64.32,81.23,57.43,64.44,77.8,68.52,69.46000000000001,D,24.7,Yes,Yes,Master's,1,6,7.1
Male,24,CS,94.45,45.89,62.24,51.23,93.21,19.5,85.82,66.17,D,15.4,Yes,Yes,High School,2,7,7.6
Male,22,Engineering,99.67,98.53,92.55,89.64,80.74,58.6,80.41,86.49,B,18.1,Yes,Yes,High School,2,3,6.6
Male,24,Business,54.33,48.31,90.58,50.1,61.71,44.7,80.03,69.8215,D,8.6,Yes,Yes,Bachelor's,2,7,5.8
Female,24,Engineering,93.11,60.45,50.51,67.2,76.21,57.2,56.21,59.119,F,10.8,No,Yes,High School,1,3,5.5
Male,20,Business,69.53,59.16,94.26,74.73,84.29,13.3,80.91,77.0155,C,23.2,No,Yes,High School,3,2,7.3
Male,23,CS,76.2,44.48,66.45,90.93,60.93,45.7,95.09,73.829,C,29.4,No,Yes,Bachelor's,1,2,7.7
Female,23,Mathematics,95.74,49.14,83.42,91.93,82.75,3.7,54.29,66.7625,D,22.6,Yes,Yes,PhD,3,9,5.4
Male,21,Business,98.67,42.69,88.85,86.25,52.11,4.1,66.96,67.05749999999999,D,6.4,Yes,No,Bachelor's,3,7,5.6
Male,24,Mathematics,63.11,57.54,70.31,62.36,65.18,65.8,75.45,68.0055,D,8.6,No,No,High School,2,5,6.3
Female,23,CS,60.64,92.0,63.95,86.01,83.7,95.2,84.3,81.109,B,16.1,Yes,Yes,High School,2,3,6.3
